,dist_type,layer,pseudo-F,p-value
255,earth_mover,3,2.2921312125516833,0.0001
256,earth_mover,4,2.237061703112122,0.0001
257,earth_mover,5,2.1223772743827247,0.0001
258,earth_mover,6,2.180414591546187,0.0001
259,earth_mover,7,2.1984997480758692,0.0001
260,earth_mover,8,2.0164770177378473,0.0001
261,earth_mover,9,2.1718539463971993,0.0001
262,earth_mover,10,2.122795676899169,0.0001
263,earth_mover,11,2.1517621591148077,0.0001
264,earth_mover,12,2.265815091144567,0.0001
265,earth_mover,13,2.247826295138483,0.0001
266,earth_mover,14,2.3072140282242017,0.0001
267,earth_mover,15,2.1766945991489366,0.0001
268,earth_mover,16,1.9003066337467152,0.0004
269,earth_mover,17,1.915134919947437,0.0055
270,earth_mover,18,1.8989409616101478,0.0025
271,earth_mover,19,1.9423703675241013,0.0003
272,earth_mover,20,2.024621393600409,0.0002
273,earth_mover,21,2.827243034104789,0.0001
274,earth_mover,22,2.233598723012648,0.0008
275,earth_mover,23,2.1325227917232166,0.0041
276,earth_mover,24,1.726753589166124,0.027
277,earth_mover,25,1.9930121057277603,0.0125
278,earth_mover,26,2.141571991055133,0.0006
279,earth_mover,27,2.017114557361397,0.0007
280,earth_mover,28,2.029519984910219,0.0006
281,earth_mover,29,2.0444396895947263,0.0004
282,earth_mover,30,1.8324464435567382,0.0095
283,earth_mover,31,2.02517007596769,0.0044
284,earth_mover,32,2.2240481176796667,0.002
285,earth_mover,33,2.27292730694103,0.0007
286,earth_mover,34,2.3006865739557547,0.0005
287,earth_mover,35,2.32785274378505,0.0004
288,earth_mover,36,2.096404410248409,0.0027
289,earth_mover,37,2.1174988715781007,0.0002
290,earth_mover,38,2.2689299338686246,0.0002
291,earth_mover,39,2.1586254424961235,0.0008
292,earth_mover,40,2.1873645717210417,0.0009
293,earth_mover,41,2.285619511609172,0.0002
294,earth_mover,42,2.2737571140172177,0.0003
295,earth_mover,43,2.3028940221491765,0.0001
296,earth_mover,44,2.2545155666353422,0.0002
297,earth_mover,45,2.1077726541729276,0.0002
298,earth_mover,46,2.135852173030344,0.0003
299,earth_mover,47,2.1122905669341536,0.0004
300,earth_mover,48,2.093749686689636,0.0005
